type,title,url,info,keywords,collaborators,hover,img,image,organizations,year,organization roles,bibtext,participant roles
Events,Access (2013 - 2020),https://accessconference.ca/,"Canada’s premier library technology conference for librarians, technicians, developers, programmers, and managers. Stacy Allison-Cassin, Sharon Farnel, Kim Martin, William Turkel. ",pedagogy;linked data;metadata;digital humanities,Stacy Allison-Cassin;Sharon Farnel;Kim Martin;William Turkel,,,"access,png",,2013 - 2020,{},,"{'Sharon Farnel': 'Participant', 'William Turkel': 'Participant', 'Kim Martin': 'Participant', 'Stacy Allison-Cassin': 'Attendee'}"
Events,Canadian Linked Data Summit (CLDS) (2016),https://www.mcgill.ca/clds/,"A summit to explore the world of Linked Data and find a path to the future in Canada. Stacy Allison-Cassin, Sharon Farnel. ",linked data;metadata;collaboration,Stacy Allison-Cassin;Sharon Farnel,,clds.png,clds.png,University of Alberta;Library and Archives Canada (LAC);McGill University,2016,"{'University of Alberta': 'Sponsor', 'Library and Archives Canada (LAC)': 'Sponsor', 'McGill University': 'Host'}",,"{'Sharon Farnel': 'Attendee', 'Stacy Allison-Cassin': 'Participant'}"
Events,Canadian Research Data Summit (2019),https://www.rdc-drc.ca/activities/ndsf2019/,The a forum for the Canadian research community to develop a shared understanding of the current data management landscape and recommendations for future initiatives.,,,,,,,2019,{},,{}
Events,Canadian Research Knowledge Network (CRKN) Conference (2004 - 2020),https://www.crkn-rcdr.ca/index.php/en/crkn-conference,"CRKN advances interconnected, sustainable access to the world's research and to Canada's documentary heritage content. Constance Crompton, Sharon Farnel. ",information ethics;metadata;decolonization;archives/collections;cultural heritage,Constance Crompton;Sharon Farnel,,,crkn.png,,2004 - 2020,{},,"{'Sharon Farnel': 'Participant', 'Constance Crompton': 'Participant'}"
Events,Canadian Society of Digital Humanities/Société canadienne des humanités numériques (CSDH/SCHN) (2015 - 2020),https://csdh-schn.org/category/post-en/conference/,"CSDH draws together humanists engaged in digital and computer-assisted research, teaching, and creation, and champions interaction between Canadas anglophone and francophone communities. Susan Brown, Constance Crompton, Kim Martin, William Turkel. ",digital humanities;ontologies;collaboration;programming;historical change,Susan Brown;Constance Crompton;Kim Martin;William Turkel,,,csdh.png,,2015 - 2020,{},,"{'Kim Martin': 'Participant', 'Susan Brown': 'Participant', 'William Turkel': 'Participant', 'Constance Crompton': 'Participant'}"
Events,Code4Lib (2006 - 2020),http://www.keod.ic3k.org/,"Code4lib is a volunteer-driven, worldwide collective of hackers, designers, architects, curators, catalogers, artists, and instigators who work for and with libraries, archives, and museums on technology. William Turkel. ",programming;pedagogy,William Turkel,,,code4lib.png,,2006 - 2020,{},,{'William Turkel': 'Participant'}
Events,Decolonizing the Internet (2018 - 2019),https://whoseknowledge.org/decolonizing-the-internet-conference/,"Whose Knowledge? convenes marginalized community organizers, technologists, scholars, artists, and Wikimedians to work on issues related to marginalized knowledges on the Internet. Stacy Allison-Cassin. ",decolonization;equity;information ethics,Stacy Allison-Cassin,,,,Whose Knowledge,2018 - 2019,{'Whose Knowledge': 'Host'},,{'Stacy Allison-Cassin': 'Organizer'}
Events,DH LOD-SIG Workshops/Mini-conferences (2005 - 2019),https://staticweb.hum.uu.nl/dh2019/dh2019.adho.org/programme/sig-workshops/index.html,"The DH LOD-SIG organizes workshops sponsored by the ADHO. Stacy Allison-Cassin, Constance Crompton, Kim Martin. ",linked data;ontologies;digital humanities,Stacy Allison-Cassin;Constance Crompton;Kim Martin,,,,Alliance of Digital Humanities Organizations (ADHO),2005 - 2019,{'Alliance of Digital Humanities Organizations (ADHO)': 'Sponsor'},,"{'Kim Martin': 'Organizer', 'Constance Crompton': 'Participant', 'Stacy Allison-Cassin': 'Participant'}"
Events,DH@Guelph Summer Workshops (2016 - 2020),https://www.uoguelph.ca/arts/dhguelph/summer2019,"DH@Guelph provides a forum for colleagues to learn about the digital world and its impact on our work. Constance Crompton, Kim Martin. ",digital humanities;pedagogy;feminism;historical change,Constance Crompton;Kim Martin,,dhsw2018.jpg,,University of Guelph;University of Guelph Library,2016 - 2020,"{'University of Guelph': 'Host', 'University of Guelph Library': 'Host'}",,"{'Kim Martin': 'Organizer', 'Constance Crompton': 'Participant'}"
Events,Digital Diversity Conference (2015),http://archive.artsrn.ualberta.ca/digitaldiversity2015,"The Digital Diversity Conference examined the trajectory of feminist digital studies, focusing on how varied projects have opened up the objects and methods of literary history and cultural studies. Constance Crompton. ",digital humanities;diversity;cultural identities,Constance Crompton,,,,,2015,{},,{'Constance Crompton': 'Participant'}
